"","V1"
"1",544195584
"2",2.42605124522067e+21
"3",58498548800421960
"4",5.47994264932614e+21
"5",105892124134348128
"6",8.77199707500521e+20
"7",1.11928921170689e+22
"8",9.18517288542141e+20
"9",6.66363913818804e+22
"10",5.3077582304368e+22
"11",9.46711019939315e+25
"12",8.63921598360393e+22
"13",1.72265730248394e+24
"14",2.20909968702415e+24
"15",1.43832493773062e+25
"16",1.93141968651736e+25
"17",4.92490901050583e+25
"18",8.47739702336876e+24
"19",2.90597354544931e+25
"20",4.40688305406324e+25
"21",2.76085770466049e+25
"22",2.88381551451027e+25
"23",2.97132803918571e+25
"24",4.29772793847078e+25
"25",3.27677071001664e+25
"26",3.60716562584288e+25
"27",2.83972451396178e+25
"28",2.89920836429242e+25
"29",2.96058915061167e+25
"30",3.21463071861321e+25
"31",3.37176032430981e+25
"32",3.32102941966153e+25
"33",3.68770226755008e+25
"34",3.46623206752061e+25
"35",3.21014103553513e+25
"36",3.09756237890807e+25
"37",3.3097327974362e+25
"38",3.25593822100901e+25
