"","V1"
"1",765757.853537977
"2",2036329936587526912
"3",2154523228.77393
"4",290333961241047
"5",61064428506437376
"6",1090799651501243136
"7",1869527864801724672
"8",311281101878713664
"9",373044758376158848
"10",1.24080227587484e+21
"11",2.35274256290978e+20
"12",7.13448606915782e+20
"13",3.32971418794656e+21
"14",8.36983409192184e+20
"15",2.18135176362714e+21
"16",1.26978216176533e+21
"17",3.20532824074677e+20
"18",2.79432635147369e+20
"19",2.02465441204431e+21
"20",1.91341057756172e+21
"21",5.01904731878376e+21
"22",1.50390196678849e+21
"23",1.35128916303991e+21
"24",1.49941296453623e+21
"25",2.81152560360823e+21
"26",3.09824475798271e+21
"27",2.28339975458308e+21
"28",1.75322650991487e+21
"29",1.971257880435e+21
"30",2.37584782845327e+21
"31",1.96519377653345e+21
"32",2.26502003610684e+21
"33",2.18820033062134e+21
"34",2.32735695805451e+21
"35",2.20666234575599e+21
"36",2.30278953801464e+21
"37",2.21101109754123e+21
"38",2.28586809667876e+21
