"","x"
"1",3966
"2",3868
"3",3807
"4",3782
"5",3752
"6",3733
"7",3719
"8",3705
"9",3662
"10",3621
"11",3645
"12",3659
"13",3634
"14",3646
"15",3599
"16",3601
"17",3592
"18",3587
"19",3574
"20",3515
"21",3450
"22",3469
"23",3487
"24",3461
"25",3469
"26",3470
"27",3440
"28",3447
"29",3479
"30",3527
"31",3501
"32",3488
"33",3488
"34",3502
"35",3537
"36",3501
"37",3519
"38",3488
"39",3480
"40",3516
"41",3472
"42",3468
"43",3429
"44",3437
"45",3420
"46",3459
"47",3456
"48",3461
"49",3458
"50",3459
"51",3480
"52",3487
"53",3478
"54",3456
"55",3476
"56",3486
"57",3524
"58",3522
"59",3547
"60",3546
"61",3572
"62",3598
"63",3591
"64",3572
"65",3566
"66",3606
"67",3612
"68",3614
"69",3591
"70",3604
"71",3608
"72",3606
"73",3600
"74",3606
"75",3536
"76",3514
"77",3556
"78",3515
"79",3506
"80",3482
"81",3479
"82",3528
"83",3552
"84",3523
"85",3516
"86",3514
"87",3532
"88",3509
"89",3521
"90",3531
"91",3538
"92",3537
"93",3513
"94",3502
"95",3489
"96",3490
"97",3469
"98",3453
"99",3509
"100",3469
"101",3463
"102",3478
"103",3532
"104",3541
"105",3536
"106",3488
"107",3456
"108",3445
"109",3444
"110",3490
"111",3518
"112",3542
"113",3519
"114",3531
"115",3520
"116",3443
"117",3425
"118",3378
"119",3323
"120",3306
"121",3294
"122",3334
"123",3339
"124",3376
"125",3394
"126",3393
"127",3356
"128",3340
"129",3309
"130",3314
"131",3350
"132",3389
"133",3438
"134",3418
"135",3438
"136",3387
"137",3385
"138",3348
"139",3338
"140",3322
"141",3328
"142",3381
"143",3391
"144",3408
"145",3406
"146",3404
"147",3378
"148",3364
"149",3354
"150",3338
"151",3339
"152",3371
"153",3342
"154",3337
"155",3294
"156",3331
"157",3347
"158",3354
"159",3374
"160",3389
"161",3374
"162",3432
"163",3430
"164",3424
"165",3401
"166",3365
"167",3352
"168",3409
"169",3419
"170",3392
"171",3367
"172",3350
"173",3375
"174",3361
"175",3333
"176",3333
"177",3378
"178",3419
"179",3381
"180",3383
"181",3420
"182",3462
"183",3461
"184",3455
"185",3430
"186",3401
"187",3389
"188",3402
"189",3413
"190",3371
"191",3371
"192",3363
"193",3369
"194",3303
"195",3342
"196",3326
"197",3290
"198",3289
"199",3288
"200",3264
"201",3223
"202",3227
"203",3237
"204",3226
"205",3170
"206",3220
"207",3236
"208",3215
"209",3256
"210",3238
"211",3213
"212",3225
"213",3237
"214",3268
"215",3239
"216",3260
"217",3297
"218",3339
"219",3349
"220",3334
"221",3388
"222",3350
"223",3338
"224",3353
"225",3344
"226",3374
"227",3343
"228",3324
"229",3325
"230",3346
"231",3379
"232",3410
"233",3446
"234",3461
"235",3438
"236",3430
"237",3446
"238",3451
"239",3459
"240",3413
"241",3444
"242",3439
"243",3441
"244",3390
"245",3428
"246",3464
"247",3443
"248",3394
"249",3374
"250",3348
"251",3324
"252",3316
"253",3285
"254",3297
"255",3226
"256",3274
"257",3309
"258",3304
"259",3264
"260",3240
"261",3298
"262",3296
"263",3311
"264",3310
"265",3281
"266",3272
"267",3266
"268",3278
"269",3255
"270",3273
"271",3286
"272",3294
"273",3256
"274",3237
"275",3210
"276",3215
"277",3182
"278",3158
"279",3153
"280",3173
"281",3181
"282",3195
"283",3228
"284",3193
"285",3132
"286",3104
"287",3127
"288",3100
"289",3135
"290",3159
"291",3143
"292",3166
"293",3187
"294",3177
"295",3173
"296",3173
"297",3259
"298",3269
"299",3244
"300",3259
"301",3281
"302",3312
"303",3312
"304",3318
"305",3290
"306",3304
"307",3312
"308",3271
"309",3333
"310",3374
"311",3395
"312",3385
"313",3353
"314",3369
"315",3375
"316",3409
"317",3358
"318",3354
"319",3394
"320",3354
"321",3406
"322",3419
"323",3431
"324",3404
"325",3418
"326",3399
"327",3405
"328",3435
"329",3479
"330",3486
"331",3515
"332",3520
"333",3527
"334",3536
"335",3538
"336",3536
"337",3526
"338",3512
"339",3543
"340",3565
"341",3527
"342",3490
"343",3497
"344",3498
"345",3562
"346",3558
"347",3593
"348",3557
"349",3538
"350",3490
"351",3467
"352",3523
"353",3523
"354",3532
"355",3470
"356",3517
"357",3556
"358",3497
"359",3515
"360",3491
"361",3496
"362",3511
"363",3517
"364",3546
"365",3534
"366",3521
"367",3567
"368",3556
"369",3550
"370",3521
"371",3479
"372",3540
"373",3533
"374",3547
"375",3583
"376",3558
"377",3512
"378",3468
"379",3435
"380",3463
"381",3472
"382",3454
"383",3463
"384",3432
"385",3471
"386",3444
"387",3416
"388",3370
"389",3341
"390",3304
"391",3299
"392",3351
"393",3387
"394",3433
"395",3442
"396",3427
"397",3419
"398",3475
"399",3476
"400",3453
"401",3496
"402",3539
"403",3527
"404",3492
"405",3522
"406",3513
"407",3561
"408",3561
"409",3545
"410",3511
"411",3511
"412",3503
"413",3517
"414",3510
"415",3528
"416",3515
"417",3464
"418",3481
"419",3434
"420",3423
"421",3416
"422",3375
"423",3368
"424",3374
"425",3403
"426",3451
"427",3426
"428",3438
"429",3407
"430",3366
"431",3364
"432",3327
"433",3313
"434",3321
"435",3255
"436",3224
"437",3221
"438",3226
"439",3217
"440",3250
"441",3198
"442",3184
"443",3214
"444",3199
"445",3098
"446",3119
"447",3115
"448",3083
"449",3104
"450",3096
"451",3054
"452",3039
"453",3006
"454",2985
"455",2963
"456",3017
"457",2988
"458",2919
"459",2921
"460",2898
"461",2943
"462",2946
"463",2938
"464",2951
"465",2935
"466",2974
"467",3010
"468",2967
"469",2899
"470",2922
"471",2870
"472",2880
"473",2897
"474",2775
"475",2732
"476",2756
"477",2747
"478",2742
"479",2770
"480",2793
"481",2868
"482",2849
"483",2794
"484",2775
"485",2789
"486",2746
"487",2797
"488",2832
"489",2816
"490",2875
"491",2849
"492",2841
"493",2902
"494",2945
"495",2934
"496",2935
"497",2948
"498",2917
"499",2936
"500",2974
"501",2974
"502",2965
"503",2962
"504",2957
"505",2935
"506",2923
"507",2962
"508",2931
"509",2959
"510",2965
"511",3009
"512",3047
"513",3088
"514",3138
"515",3110
"516",3125
"517",3124
"518",3078
"519",3128
"520",3110
"521",3124
"522",3104
"523",3117
"524",3143
"525",3164
"526",3130
"527",3182
"528",3236
"529",3263
"530",3263
"531",3212
"532",3178
"533",3223
"534",3190
"535",3144
"536",3142
"537",3153
"538",3193
"539",3197
"540",3214
"541",3181
"542",3171
"543",3168
"544",3212
"545",3241
"546",3272
"547",3240
"548",3198
"549",3195
"550",3204
"551",3201
"552",3191
"553",3210
"554",3183
"555",3206
"556",3244
"557",3198
"558",3163
"559",3163
"560",3187
"561",3178
"562",3154
"563",3136
"564",3182
"565",3228
"566",3231
"567",3234
"568",3255
"569",3271
"570",3252
"571",3218
"572",3258
"573",3261
"574",3269
"575",3279
"576",3281
"577",3315
"578",3360
"579",3368
"580",3361
"581",3376
"582",3327
"583",3350
"584",3326
"585",3331
"586",3337
"587",3302
"588",3253
"589",3260
"590",3218
"591",3196
"592",3177
"593",3156
"594",3152
"595",3150
"596",3121
"597",3124
"598",3141
"599",3146
"600",3177
"601",3182
"602",3158
"603",3170
"604",3186
"605",3201
"606",3211
"607",3170
"608",3163
"609",3162
"610",3160
"611",3220
"612",3229
"613",3258
"614",3299
"615",3269
"616",3219
"617",3224
"618",3185
"619",3218
"620",3257
"621",3209
"622",3224
"623",3228
"624",3257
"625",3249
"626",3297
"627",3279
"628",3281
"629",3264
"630",3281
"631",3307
"632",3302
"633",3294
"634",3273
"635",3271
"636",3224
"637",3255
"638",3243
"639",3270
"640",3326
"641",3360
"642",3338
"643",3312
"644",3297
"645",3337
"646",3371
"647",3358
"648",3388
"649",3418
"650",3370
"651",3364
"652",3306
"653",3357
"654",3347
"655",3320
"656",3349
"657",3342
"658",3377
"659",3388
"660",3395
"661",3404
"662",3416
"663",3401
"664",3392
"665",3393
"666",3402
"667",3417
"668",3417
"669",3436
"670",3461
"671",3482
"672",3486
"673",3476
"674",3460
"675",3467
"676",3466
"677",3490
"678",3470
"679",3483
"680",3500
"681",3470
"682",3432
"683",3448
"684",3479
"685",3442
"686",3429
"687",3445
"688",3414
"689",3392
"690",3370
"691",3396
"692",3402
"693",3369
"694",3371
"695",3401
"696",3432
"697",3468
"698",3456
"699",3454
"700",3456
"701",3494
"702",3556
"703",3540
"704",3521
"705",3522
"706",3516
"707",3503
"708",3523
"709",3487
"710",3572
"711",3585
"712",3551
"713",3586
"714",3551
"715",3553
"716",3585
"717",3566
"718",3526
"719",3578
"720",3559
"721",3507
"722",3543
"723",3545
"724",3516
"725",3531
"726",3514
"727",3455
"728",3437
"729",3465
"730",3481
"731",3503
"732",3511
"733",3500
"734",3546
"735",3517
"736",3511
"737",3491
"738",3487
"739",3535
"740",3565
"741",3540
"742",3507
"743",3519
"744",3508
"745",3528
"746",3505
"747",3499
"748",3491
"749",3507
"750",3483
"751",3490
"752",3453
"753",3474
"754",3430
"755",3434
"756",3435
"757",3379
"758",3392
"759",3371
"760",3371
"761",3382
"762",3378
"763",3390
"764",3372
"765",3341
"766",3301
"767",3340
"768",3417
"769",3385
"770",3360
"771",3354
"772",3373
"773",3370
"774",3383
"775",3366
"776",3327
"777",3326
"778",3368
"779",3343
"780",3267
"781",3227
"782",3244
"783",3229
"784",3264
"785",3214
"786",3228
"787",3188
"788",3204
"789",3244
"790",3224
"791",3225
"792",3259
"793",3303
"794",3301
"795",3324
"796",3297
"797",3249
"798",3239
"799",3268
"800",3278
"801",3251
"802",3252
"803",3239
"804",3251
"805",3237
"806",3257
"807",3305
"808",3307
"809",3269
"810",3255
"811",3279
"812",3235
"813",3255
"814",3285
"815",3354
"816",3366
"817",3417
"818",3429
"819",3475
"820",3503
"821",3512
"822",3537
"823",3486
"824",3467
"825",3450
"826",3425
"827",3415
"828",3427
"829",3426
"830",3439
"831",3479
"832",3465
"833",3438
"834",3471
"835",3487
"836",3438
"837",3391
"838",3398
"839",3401
"840",3402
"841",3414
"842",3457
"843",3473
"844",3489
"845",3454
"846",3484
"847",3474
"848",3474
"849",3484
"850",3477
"851",3449
"852",3443
"853",3473
"854",3506
"855",3525
"856",3520
"857",3531
"858",3560
"859",3525
"860",3567
"861",3521
"862",3509
"863",3533
"864",3539
"865",3458
"866",3467
"867",3542
"868",3565
"869",3548
"870",3579
"871",3577
"872",3563
"873",3609
"874",3584
"875",3586
"876",3598
"877",3563
"878",3564
"879",3560
"880",3605
"881",3617
"882",3603
"883",3619
"884",3592
"885",3585
"886",3580
"887",3563
"888",3520
"889",3512
"890",3482
"891",3490
