"","x"
"1",3722
"2",3402
"3",3159
"4",3011
"5",2843
"6",2688
"7",2575
"8",2482
"9",2460
"10",2423
"11",2374
"12",2329
"13",2383
"14",2360
"15",2361
"16",2324
"17",2260
"18",2296
"19",2177
"20",2143
"21",2173
"22",2123
"23",2120
"24",2044
"25",2058
"26",2051
"27",2077
"28",2064
"29",2124
"30",2152
"31",2203
"32",2221
"33",2256
"34",2186
"35",2117
"36",2101
"37",2088
"38",2097
"39",2087
"40",2094
"41",2113
"42",2264
"43",2230
"44",2096
"45",2068
"46",2035
"47",2012
"48",2040
"49",2035
"50",2065
"51",2029
"52",2199
"53",2255
"54",2255
"55",2263
"56",2243
"57",2211
"58",2184
"59",2222
"60",2176
"61",2058
"62",2025
"63",1981
"64",2106
"65",2145
"66",2125
"67",2128
"68",380
"69",682
"70",888
"71",1086
"72",1221
"73",1288
"74",1367
"75",1396
"76",1473
"77",1619
"78",1642
"79",1654
"80",1744
"81",1814
"82",1877
"83",1934
"84",1934
"85",2003
"86",1957
"87",1948
"88",1994
"89",1953
"90",1982
"91",1939
"92",1955
"93",1960
"94",1997
"95",1989
"96",2058
"97",2085
"98",2124
"99",2146
"100",2197
"101",2127
"102",2053
"103",2042
"104",2030
"105",2055
"106",2039
"107",2040
"108",2069
"109",2232
"110",2202
"111",2082
"112",2052
"113",2024
"114",2010
"115",2040
"116",2035
"117",2065
"118",2029
"119",2199
"120",2255
"121",2255
"122",2263
"123",2243
"124",2211
"125",2184
"126",2222
"127",2176
"128",2058
"129",2025
"130",1981
"131",2106
"132",2145
"133",2125
"134",2128
