iter,mc1,mc2
1,0.998774,0.375397
2,0.499847,0.380692
3,0.666504,0.510498
4,0.249985,0.588739
5,0.399988,0.476994
6,0.333323,0.558876
7,0.428563,0.617839
8,0.499992,0.540766
9,0.555549,0.591622
10,0.499994,0.63241
11,0.45454,0.574926
12,0.499995,0.610339
13,0.538457,0.640306
14,0.499996,0.665995
15,0.533329,0.688256
16,0.499996,0.70774
17,0.529406,0.666109
18,0.555549,0.629102
19,0.526309,0.648623
20,0.549991,0.666191
21,0.571417,0.682085
22,0.545443,0.651081
23,0.565203,0.666251
24,0.541653,0.638491
25,0.519987,0.612951
26,0.538447,0.627837
27,0.518505,0.604583
28,0.5357,0.618705
29,0.551709,0.631854
30,0.533319,0.610792
31,0.548373,0.591089
32,0.562487,0.603866
33,0.575743,0.61587
34,0.588219,0.627167
35,0.571413,0.609248
36,0.55554,0.592325
37,0.567551,0.576316
